Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Lisini Brunello di Montalcino Ugolaia 2015;Lisini Azienda Agraria;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;69.00
Boscarelli Vino Nobile di Montepulciano 2018;Boscarelli;Blend Red;DOCG Vino Nobile di Montepulciano;14.00;2018;Aged in wood;21.50
Ricasoli 1141 Chianti Classico Gran Selezione Colledila 2017;Ricasoli 1141;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2017;Aged in wood;55.00
Tenuta San Guido Bolgheri Sassicaia 2018;Tenuta San Guido;Blend Red;DOC Bolgheri Sassicaia;13.50;2018;Aged in barrique;244.00
Luce della Vite Lux Vitis 2017;Luce della Vite (Frescobaldi);Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in barrique;150.00
Talenti Brunello di Montalcino Pian di Conte Riserva 2015;Talenti Azienda Agricola;Sangiovese;DOCG Brunello di Montalcino Riserva;15.00;2015;Aged in wood;98.82
Badia di Morrona Chianti I Sodi del Paretaio Riserva 2018;Badia di Morrona;Sangiovese;DOCG Chianti Riserva;14.00;2018;Aged in wood;12.82
Palazzo Brunello di Montalcino 2012;Palazzo;Sangiovese;DOCG Brunello di Montalcino;14.50;2012;Aged in wood;38.50
Guado al Tasso Bolgheri Cont'Ugo 2019;Tenuta Guado al Tasso (Antinori);Merlot;DOC Bolgheri Rosso;14.50;2019;Aged in barrique;35.00
Madonna Nera Brunello di Montalcino 2014;Madonna Nera;Sangiovese;DOCG Brunello di Montalcino;14.50;2014;Aged in wood;34.16
Carpineto Chianti Classico 2019;Carpineto;Blend Red;DOCG Chianti Classico;13.00;2019;Aged in wood;12.20
Biondi Santi Rosso di Montalcino 2017;Biondi Santi;Sangiovese;DOC Rosso di Montalcino;13.50;2017;Aged in barrique;55.00
Poggio Scalette Il Carbonaione 2017;Poggio Scalette;Sangiovese;IGT Alta Valle della Greve;13.50;2017;Aged in big casks;42.00
Buondonno Chianti Classico 2018;Buondonno;Sangiovese;DOCG Chianti Classico;14.00;2018;Aged in wood;17.69
Col d'Orcia Brunello di Montalcino Nastagio 2015;Col d'Orcia;Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;50.02
Claudia Ferrero Brunello di Montalcino 2016;Claudia Ferrero;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;35.94
