Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Rocca di Montemassi Maremma Sangiovese Le Focaie 2019;Rocca di Montemassi;Sangiovese;DOC Maremma Toscana Rosso;13.00;2019;Aged in wood;10.07
Donatella Cinelli Colombini Brunello di Montalcino Riserva 2015;Donatella Cinelli Colombini;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2015;Aged in wood;79.39
Selvapiana Chianti Rufina Vigneto Erchi 2016;Selvapiana;Sangiovese;DOCG Chianti Rufina;14.00;2016;Aged in wood;39.65
Capezzana Carmignano Villa di Capezzana 10 anni 2011;Capezzana;Blend Red;DOCG Carmignano;14.00;2011;Aged in wood;33.55
Poggio Antico Brunello di Montalcino Riserva 2007;Poggio Antico;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2007;Aged in wood;156.16
Fuligni Rosso di Montalcino Ginestreto 2019;Fuligni;Sangiovese;DOC Rosso di Montalcino;14.00;2019;Aged in wood;20.95
San Leonino Governo all'Uso Toscano 2019;San Leonino;Sangiovese;IGT Toscano o Toscana;14.00;2019;No oak/wood;12.20
Petra 2017;Petra;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in barrique;39.00
La Fornace Brunello Montalcino 2014;La Fornace;Sangiovese;DOCG Brunello di Montalcino;14.00;2014;Aged in barrique;33.92
Geografico Chianti Classico Contessa di Radda 2018;Agricoltori del Chianti Geografico;Blend Red;DOCG Chianti Classico;13.50;2018;Aged in wood;10.49
Piazzano Blend 2 2016;Fattoria di Piazzano;Blend Red;IGT Toscano o Toscana;14.50;2016;Aged in barrique;15.81
Frescobaldi Brunello Ripe al Convento Riserva 2014;Marchesi Frescobaldi;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2014;Aged in barrique;89.00
Tenuta l'Impostino Lupo Bianco 2013;Tenuta L'Impostino;Blend Red;IGT Toscano o Toscana;14.00;2013;Aged in barrique;30.68
Cipriana Bolgheri Rosso 2019;La Cipriana;Blend Red;DOC Bolgheri Rosso;14.00;2019;Aged in barrique;16.47
La Palazzetta Brunello di Montalcino Riserva 2013;La Palazzetta;Sangiovese;DOCG Brunello di Montalcino Riserva;15.00;2013;Aged in wood;63.98
Terre del Marchesato Bolgheri Emilio Primo 2019;Terre del Marchesato;Blend Red;DOC Bolgheri Rosso;13.50;2019;Aged in barrique;18.91
Val di Suga Brunello di Montalcino Vigna Spuntali 2016;Val di Suga (Angelini);Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;62.22
Boscarelli Vino Nobile di Montepulciano Il Nocio 2016;Boscarelli;Sangiovese;DOCG Vino Nobile di Montepulciano;14.50;2016;Aged in wood;62.05
Tenuta del Buon Tempo Brunello di Montalcino 2016;Tenuta del Buon Tempo;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;39.04
Solaria Brunello di Montalcino 2016;Solaria (Patrizia Cencioni);Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;45.32
Trerose Nobile di Montepulciano Santa Caterina 2017;Trerose;Sangiovese;DOCG Vino Nobile di Montepulciano;14.00;2017;Aged in barrique;14.32
Franco Pacenti Brunello di Montalcino Riserva 2015;Pacenti Franco;Sangiovese Grosso;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;59.19
Calafata Iarsera 2018;Calafata;Sangiovese;IGT Toscano o Toscana;12.00;2018;No oak/wood;17.75
Poggio Bonelli Chianti Classico 2018;Poggio Bonelli;Sangiovese;DOCG Chianti Classico;13.50;2018;Aged in wood;13.01
Ricasoli 1141 Chianti Classico Brolio Bettino 2018;Ricasoli 1141;Blend Red;DOCG Chianti Classico;14.00;2018;Aged in big casks;16.49
Montevertine Pian del Ciampolo 2019;Montevertine;Blend Red;IGT Toscano o Toscana;13.50;2019;Aged in wood;29.89
Col di Lamo Brunello di Montalcino Riserva 2015;Col di Lamo;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2015;Aged in wood;51.45
Frescobaldi Santa Maria Morellino di Scansano 2019;Marchesi Frescobaldi;Blend Red;DOCG Morellino di Scansano;13.50;2019;No oak/wood;9.89
Pertimali Sassetti Brunello di Montalcino Riserva 2012;Sassetti Livio Pertimali;Sangiovese Grosso;DOCG Brunello di Montalcino Riserva;14.00;2012;Aged in wood;96.38
Castello di Romitorio Brio 2019;Castello Romitorio;Sangiovese;IGT Toscano o Toscana;14.00;2019;No oak/wood;15.01
Triacca Chianti Classico La Madonnina Riserva 2016;La Madonnina;Sangiovese;DOCG Chianti Classico Riserva;13.50;2016;Aged in wood;15.96
Podere 414 Morellino Scansano 2019;Podere 414;Blend Red;DOCG Morellino di Scansano;14.50;2019;Aged in wood;15.99
Caparzo Brunello di Montalcino Riserva 2015;Caparzo;Sangiovese;DOCG Brunello di Montalcino Riserva;13.00;2015;Aged in wood;42.18
Calafata Scapigliato 2020;Calafata;Blend Red;IGT Toscano o Toscana;11.00;2020;No oak/wood;14.01
Braccesca Nobile di Montepulciano Santa Pia Riserva 2017;La Braccesca (Antinori);Sangiovese Grosso;DOCG Vino Nobile di Montepulciano Riserva;14.50;2017;Aged in wood;23.40
Podere il Castellaccio Bolgheri Rosso Orio 2019;Podere il Castellaccio;Blend Red;DOC Bolgheri Rosso;14.50;2019;Aged in barrique;15.49
Grillesino Maremma Toscana Niccolaio 2016;Grillesino;Cabernet Sauvignon;DOC Maremma Toscana Cabernet Sauvignon;13.50;2016;Aged in wood;22.09
Poggio Antico Brunello di Montalcino Riserva 2012;Poggio Antico;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2012;Aged in wood;156.16
Logonovo Cinqueperlogonovo 2014;Logonovo;Blend Red;IGT Toscano o Toscana;14.50;2014;Aged in barrique;16.90
Carpineto Brunello di Montalcino 2016;Carpineto;Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2016;Aged in big casks;31.90
La Spinetta Il Nero di Casanova 2017;La Spinetta;Sangiovese;IGT Toscano o Toscana;13.50;2017;Aged in wood;12.81
Lamole di Lamole Chianti Classico Riserva 2017;Lamole di Lamole;Blend Red;DOCG Chianti Classico Riserva;14.00;2017;Aged in wood;28.00
Casa di Terra Bolgheri Superiore Maronea 2017;Casa di Terra;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2017;Aged in barrique;34.79
Castellare di Castellina Merlot Poggio ai Merli 2019;Castellare di Castellina;Merlot;IGT Toscano o Toscana;14.00;2019;Aged in barrique;63.90
Rocca di Frassinello Merlot Baffonero 2016;Rocca di Frassinello;Merlot;DOC Maremma Toscana Merlot;15.00;2016;Aged in barrique;165.01
Selvapiana Chianti Rufina Vigneto Erchi 2017;Selvapiana;Sangiovese;DOCG Chianti Rufina;14.50;2017;Aged in wood;35.08
Tenuta Argentiera Il Ventaglio 2015;Tenuta Argentiera;Blend Red;IGT Toscano o Toscana;14.50;2015;Aged in wood;279.99
De' Ricci Nobile di Montepulciano 2018;De' Ricci;Sangiovese;DOCG Vino Nobile di Montepulciano;13.50;2018;Aged in wood;18.67
Castello di Romitorio Brunello di Montalcino Riserva 2015;Castello Romitorio;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in barrique;177.25
Fattoria dei Barbi Brunello di Montalcino Riserva 2015;Fattoria dei Barbi;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;67.10
Cupano Rosso di Montalcino 2018;Cupano;Sangiovese;DOC Rosso di Montalcino;14.50;2018;Aged in wood;42.70
Podere Sette Cabernet Franc Il Sette 2018;Podere Sette;Cabernet Franc;IGT Toscano o Toscana;13.00;2018;Aged in barrique;14.65
Querciabella Chianti Classico 2018;Querciabella;Sangiovese;DOCG Chianti Classico;14.50;2018;Aged in barrique;22.50
San Polo Governo 2018;San Polo Azienda Agricola;Blend Red;IGT Toscano o Toscana;13.50;2018;Aged in barrique;10.80
Poggio Antico Brunello di Montalcino 2012;Poggio Antico;Sangiovese;DOCG Brunello di Montalcino;14.00;2012;Aged in barrique;67.10
Poggio Sant'Enrico Nobile di Montepulciano 2012;Carpineto;Sangiovese;DOCG Vino Nobile di Montepulciano;14.00;2012;Aged in wood;42.46
Tenuta Aquilaia Ciliegiolo 2019;Tenuta Aquilaia;Ciliegiolo;DOC Maremma Toscana Ciliegiolo;14.00;2019;No oak/wood;11.90
Castelvecchi Solana 2015;Castelvecchi;Blend Red;IGT Toscano o Toscana;14.50;2015;Aged in barrique;47.58
Pertimali Sassetti Brunello di Montalcino Dieci 2007;Sassetti Livio Pertimali;Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2007;Aged in wood;108.58
Triacca Chianti Classico Gran Selezione La Madonnina 2015;La Madonnina;Sangiovese;DOCG Chianti Classico Gran Selezione;13.50;2015;Aged in barrique;27.06
Petrolo Campo Lusso 2018;Petrolo;Cabernet Sauvignon;DOC Valdarno di Sopra Cabernet Sauvignon;13.50;2018;Aged in barrique;102.96
Fertuna Messiio 2016;Fertuna;Merlot;DOC Maremma Toscana Merlot;13.50;2016;Aged in barrique;20.90
Podere Prospero Bolgheri Rosso 2018;Podere Prospero;Blend Red;DOC Bolgheri Rosso;13.50;2018;No oak/wood;20.87
Tenuta di Trinoro Palazzi 2017;Tenuta di Trinoro;Merlot;IGT Toscano o Toscana;15.50;2017;Aged in barrique;193.00
Castello Romitorio Morellino Scansano Ghiaccioforte 2020;Castello Romitorio;Blend Red;DOCG Morellino di Scansano;14.50;2020;Aged in wood;14.55
Selvapiana Chianti Rufina Bucerchiale Riserva 2018;Selvapiana;Sangiovese;DOCG Chianti Rufina Riserva;14.00;2018;Aged in big casks;25.01
Ca' Marcanda Bolgheri Rosso 2018;Ca' Marcanda (Gaja);Blend Red;DOC Bolgheri Rosso;14.50;2018;Aged in barrique;128.50
Quercecchio Brunello di Montalcino 2016;Quercecchio Azienda Agricola;Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;32.33
Tenuta Aquilaia Maremma Toscana Rosso 2019;Tenuta Aquilaia;Blend Red;DOC Maremma Toscana Rosso;13.50;2019;No oak/wood;8.50
Banfi Brunello di Montalcino Poggio alle Mura Riserva 2015;Banfi;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in barrique;85.00
Conti Costanti Rosso di Montalcino Vermiglio 2017;Conti Costanti;Sangiovese;DOC Rosso di Montalcino;14.00;2017;Aged in wood;36.47
Podere Salicutti Rosso di Montalcino 2016;Salicutti;Sangiovese;DOC Rosso di Montalcino;14.50;2016;Aged in wood;39.26
Poliziano Vino Nobile di Montepulciano 2018;Poliziano;Blend Red;DOCG Vino Nobile di Montepulciano;14.50;2018;Aged in wood;20.00
Lamole di Lamole Lam'Oro 2015;Lamole di Lamole;Blend Red;IGT Toscano o Toscana;14.00;2015;Aged in barrique;60.00
Poliziano Vino Nobile di Montepulciano Asinone 2018;Poliziano;Sangiovese Grosso;DOCG Vino Nobile di Montepulciano;15.00;2018;Aged in wood;41.50
Pertimali Sassetti Brunello di Montalcino 2014;Sassetti Livio Pertimali;Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2014;Aged in wood;49.00
Tenuta di Trinoro Le Cupole 2019;Tenuta di Trinoro;Blend Red;IGT Toscano o Toscana;15.00;2019;Aged in barrique;27.50
Fattoria Aldobrandesca Vie Cave 2019;Fattoria Aldobrandesca;Malbec;IGT Toscano o Toscana;14.50;2019;Aged in wood;18.91
Banfi Brunello di Montalcino Poggio alle Mura Riserva 2013;Banfi;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2013;Aged in barrique;70.00
Ca' Marcanda Promis 2019;Ca' Marcanda (Gaja);Blend Red;IGT Toscano o Toscana;14.00;2019;Aged in barrique;32.94
Calafata Levato di Majurina Rosso (Vecchie Vigne) 2014;Calafata;Blend Red;DOC Colline Lucchesi Rosso;12.50;2014;No oak/wood;18.30
Casanova di Neri Brunello di Montalcino Cerretalto 2015;Casanova di Neri;Sangiovese;DOCG Brunello di Montalcino;15.00;2015;Aged in wood;285.00
Castello di Albola Acciaiolo 2015;Castello di Albola;Blend Red;IGT Toscano o Toscana;14.00;2015;Aged in barrique;49.37
Castello di Albola Chianti Classico Gran Selezione Il Solatio 2016;Castello di Albola;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2016;Aged in barrique;52.00
Castello di Fonterutoli Siepi 2018;Castello di Fonterutoli (Mazzei);Blend Red;IGT Toscano o Toscana;14.50;2018;Aged in barrique;98.00
Cipresso 43 di Roberto Cipresso Punto Vino Rosso 2019;Cipresso 43 di Roberto Cipresso;Blend Red;IGT Toscano o Toscana;14.00;2019;No oak/wood;11.59
Cipriana Bolgheri Superiore San Martino 2017;La Cipriana;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2017;Aged in barrique;53.14
Cipriana Bolgheri Vigna Scopaio 339 2019;La Cipriana;Cabernet Sauvignon;DOC Bolgheri Rosso;14.00;2019;Aged in barrique;25.62
Folonari Cabreo Black Pinot Nero 2017;Tenute Folonari;Pinot Nero;IGT Toscano o Toscana;15.00;2017;Aged in wood;23.90
Castello di Fonterutoli Philip 2017;Castello di Fonterutoli (Mazzei);Cabernet Sauvignon;IGT Toscano o Toscana;14.00;2017;Aged in barrique;20.45
Donatella Cinelli Colombini Brunello di Montalcino Riserva 2013;Donatella Cinelli Colombini;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2013;Aged in wood;62.27
Fabrizio Dionisio Syrah Cuculaia 2016;Fabrizio Dionisio;Syrah;DOC Cortona Syrah;15.00;2016;Aged in barrique;44.99
"Fontodi Syrah Bio ""Case Via"" 2018";Fontodi;Syrah;IGT Colli della Toscana centrale;15.00;2018;Aged in barrique;37.21
Frescobaldi Chianti Castiglioni 2020;Tenuta di Castiglioni (Frescobaldi);Blend Red;DOCG Chianti;13.00;2020;No oak/wood;7.50
Guado al Melo Bolgheri Superiore Atis 2017;Guado al Melo;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2017;Aged in wood;37.00
La Palazzetta Brunello di Montalcino 2016;La Palazzetta;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;35.94
La Palazzetta Rosso di Montalcino 2019;La Palazzetta;Sangiovese;DOC Rosso di Montalcino;14.50;2019;Aged in wood;17.39
La Rasina Brunello di Montalcino 2016;La Rasina;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;40.26
Le Macioche Brunello di Montalcino Riserva 2015;Le Macioche;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2015;Aged in barrique;69.00
Leonardo da Vinci Morellino di Scansano 2020;Cantine Leonardo da Vinci;Sangiovese;DOCG Morellino di Scansano;14.00;2020;No oak/wood;9.76
Leonardo da Vinci Villa da Vinci Santo Ippolito 2019;Cantine Leonardo da Vinci;Blend Red;IGT Toscano o Toscana;13.50;2019;Aged in barrique;22.90
Montevertine Montevertine 2018;Montevertine;Blend Red;IGT Toscano o Toscana;14.00;2018;Aged in wood;67.10
Pagliarese Chianti Classico Riserva 2018;Pagliarese;Blend Red;DOCG Chianti Classico Riserva ;13.50;2018;Aged in wood;17.47
Podere Forte Orcia Guardiavigna 2016;Podere Forte;Cabernet Franc;IGT Toscano o Toscana;15.00;2016;Aged in barrique;183.00
Podere Forte Orcia Petrucci Anfiteatro 2016;Podere Forte;Sangiovese;DOC Orcia Rosso;15.00;2016;Aged in barrique;175.01
Podere Forte Orcia Petrucci Melo 2016;Podere Forte;Sangiovese;DOC Orcia Sangiovese;15.00;2016;Aged in barrique;195.20
Poggio Antico Brunello di Montalcino Altero 2016;Poggio Antico;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;69.00
Querciabella Chianti Classico Riserva 2017;Querciabella;Sangiovese;DOCG Chianti Classico Riserva;14.00;2017;Aged in barrique;37.00
Ricasoli 1141 Chianti Classico Brolio 2019;Ricasoli 1141;Sangiovese;DOCG Chianti Classico;13.50;2019;Aged in big casks;10.78
Rocca di Montemassi Rocca di Montemassi 2016;Rocca di Montemassi;Blend Red;DOC Maremma Toscana Rosso;14.00;2016;Aged in wood;36.60
Salcheto Chianti Biskero 2020;Salcheto;Blend Red;DOCG Chianti;13.00;2020;Aged in wood;6.91
Salcheto Nobile di Montepulciano 2018;Salcheto;Sangiovese Grosso;DOCG Vino Nobile di Montepulciano;13.50;2018;Aged in wood;15.90
Salicutti Podere Brunello di Montalcino Piaggione 2016;Salicutti;Sangiovese;DOCG Brunello di Montalcino;15.00;2016;Aged in wood;98.94
Terre del Marchesato Aldone Merlot 2018;Terre del Marchesato;Merlot;IGT Toscano o Toscana;14.50;2018;Aged in barrique;59.00
Triacca Brunello di Montalcino 2012;Triacca;Sangiovese;DOCG Brunello di Montalcino;13.50;2012;Aged in wood;35.28
Triacca Nobile di Montepulciano Poderuccio 2015;Triacca;Blend Red;DOCG Vino Nobile di Montepulciano;13.50;2015;Aged in barrique;21.87
Tua Rita Rosso Perlato del Bosco 2019;Tua Rita;Sangiovese;IGT Toscano o Toscana;13.50;2019;Aged in barrique;28.93
Villa al Cortile Brunello di Montalcino 2015;Villa al Cortile (Tenute Piccini);Sangiovese Grosso;DOCG Brunello di Montalcino;14.00;2015;Aged in wood;35.00
Villa Poggio Salvi Chianti Colli Senesi Caspagnolo 2020;Villa Poggio Salvi;Blend Red;DOCG Chianti Colli Senesi;13.50;2020;No oak/wood;8.50
Torri del Falco Morellino di Scansano 2019;Loacker Wine Estates;Blend Red;DOCG Morellino di Scansano;14.00;2019;No oak/wood;11.37
De' Ricci Nobile di Montepulciano Soraldo 2016;De' Ricci;Sangiovese;DOCG Vino Nobile di Montepulciano;14.00;2016;Aged in wood;36.04
Jacopo Biondi Santi Sassoalloro 2012;Jacopo Biondi Santi;Sangiovese;IGT Toscano o Toscana;13.50;2012;Aged in barrique;16.47
Colle Massari Montecucco Rigoleto 2018;Colle Massari;Blend Red;DOC Montecucco Rosso;14.50;2018;Aged in barrique;9.22
Antinori Chianti Classico Gran Selezione Badia a Passignano 2017;Antinori;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2017;Aged in barrique;34.50
Ornellaia Le Volte 2019;Ornellaia;Blend Red;IGT Toscano o Toscana;13.50;2019;Aged in barrique;19.90
Caparzo Brunello di Montalcino 2016;Caparzo;Sangiovese;DOCG Brunello di Montalcino;13.50;2016;Aged in wood;32.49
Fattoria della Aiola Armata dell'Aiola 2018;Fattoria della Aiola;Blend Red;IGT Toscano o Toscana;12.50;2018;No oak/wood;8.41
Col D'Orcia Sant'Antimo Nearco 2016;Col d'Orcia;Blend Red;DOC Sant'Antimo Rosso;14.50;2016;No oak/wood;15.25
Castello di Fonterutoli Chianti Classico Ser Lapo Riserva 2018;Castello di Fonterutoli (Mazzei);Blend Red;DOCG Chianti Classico Riserva;13.50;2018;Aged in barrique;15.90
Terre del Marchesato Bolgheri Inedito 2019;Terre del Marchesato;Blend Red;IGT Toscano o Toscana;13.00;2019;Aged in barrique;12.48
Fertuna Plato Rosso;Fertuna;Blend Red;IGT Toscano o Toscana;13.50;2019;Aged in wood;6.99
Ribusieri Montecucco Le Maciole 2018;Tenuta Ribusieri;Blend Red;DOC Montecucco Rosso;13.50;2018;Aged in wood;10.49
Chiappini Bolgheri Rosso Ferruggini 2018;Chiappini;Blend Red;DOC Bolgheri Rosso;14.00;2018;Aged in barrique;13.42
Tenuta San Guido Le Difese 2019;Tenuta San Guido;Blend Red;IGT Toscano o Toscana;14.00;2019;Aged in barrique;22.50
Piazzano Ciliegiolo 2019;Fattoria di Piazzano;Ciliegiolo;IGT Toscano o Toscana;13.50;2019;Aged in wood;10.87
Poggio Nicchiaia Chianti Superiore Filetto 2018;Poggio Nicchiaia;Sangiovese;DOCG Chianti Superiore;14.00;2018;Aged in wood;9.03
Sapaio Bolgheri Volpolo 2019;Podere Sapaio;Blend Red;DOC Bolgheri Rosso;14.50;2019;Aged in barrique;23.50
Ca' Marcanda Bolgheri Magari 2018;Ca' Marcanda (Gaja);Blend Red;DOC Bolgheri Rosso;14.00;2018;Aged in barrique;53.50
Rocca di Montemassi Sassabruna 2018;Rocca di Montemassi;Blend Red;DOC Maremma Toscana Rosso;13.50;2018;Aged in wood;11.50
Tenuta Belguardo Maremma Toscana 2016;Mazzei;Blend Red;DOC Maremma Toscana Rosso;14.00;2016;Aged in barrique;34.50
I Greppi Bolgheri Rosso Greppicante 2018;I Greppi;Blend Red;DOC Bolgheri Rosso;14.00;2018;Aged in wood;18.30
Uggiano Chianti Colli Fiorentini Skyline 2018;Uggiano;Blend Red;DOCG Chianti Colli Fiorentini;13.00;2018;Aged in wood;6.51
Chiappini Bolgheri Rosso Ferruggini 2019;Chiappini;Blend Red;DOC Bolgheri Rosso;14.00;2019;Aged in barrique;13.49
Poliziano Rosso di Montepulciano 2019;Poliziano;Blend Red;DOC Rosso di Montepulciano;14.00;2019;Aged in wood;10.20
San Giusto a Rentennano Chianti Classico 2019;Fattoria San Giusto a Rentennano;Blend Red;DOCG Chianti Classico;14.50;2019;Aged in barrique;18.30
Podere Brizio Brunello di Montalcino 2015;Podere Brizio;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;38.91
Castello di Meleto Chianti Classico 2018;Castello di Meleto;Sangiovese;DOCG Chianti Classico;13.50;2018;Aged in wood;13.49
Tenuta di Sesta Poggio d'Arna Rosso 2017;Tenuta di Sesta;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in barrique;9.74
Barbicaia Rosso di Montepulciano 2019;Barbicaia;Sangiovese;DOC Rosso di Montepulciano;13.50;2019;Aged in barrique;10.25
Le Ripi Rosso di Montalcino Sogni e Follia 2016;Podere Le Ripi;Sangiovese;DOC Rosso di Montalcino;13.50;2016;Aged in big casks;24.40
Chiappini Bolgheri Rosso Felciaino 2018;Chiappini;Blend Red;DOC Bolgheri Rosso;14.50;2018;Aged in barrique;18.30
Poggio Bonelli Poggiassai 2015;Poggio Bonelli;Blend Red;IGT Toscano o Toscana;14.00;2015;Aged in barrique;23.00
Caparzo Brunello di Montalcino Cru La Casa 2016;Caparzo;Sangiovese;DOCG Brunello di Montalcino;13.00;2016;Aged in wood;54.50
Le Chiuse Brunello di Montalcino 2016;Le Chiuse;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;64.99
Campo alla Sughera 2015;Campo alla Sughera;Blend Red;IGT Toscano o Toscana;14.50;2015;Aged in barrique;46.36
Cupano Sant'Antimo Ombrone 2017;Cupano;Blend Red;DOC Sant'Antimo Rosso;14.50;2017;Aged in wood;41.48
Villa Poggio Salvi Brunello di Montalcino 2016;Villa Poggio Salvi;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;33.50
I Fabbri Chianti Classico Riserva 2015;I Fabbri;Blend Red;DOCG Chianti Classico Riserva;13.50;2015;Aged in wood;24.40
Petra Quercegobbe 2018;Petra;Merlot;IGT Toscano o Toscana;14.00;2018;Aged in barrique;21.50
Donna Olimpia 1898 Bolgheri Superiore Millepassi 2017;Donna Olimpia 1898;Blend Red;DOC Bolgheri Rosso Superiore;14.50;2017;Aged in wood;42.00
San Giusto a Rentennano Le Baroncole Riserva 2018;Fattoria San Giusto a Rentennano;Blend Red;DOCG Chianti Classico Riserva;15.00;2018;Aged in wood;29.28
Fuligni Brunello di Montalcino 2016;Fuligni;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in wood;69.54
Piazzano Syrah 2016;Fattoria di Piazzano;Syrah;IGT Toscano o Toscana;15.00;2016;Aged in barrique;18.00
Selvapiana Pomino Rosso Villa Petrognano 2018;Selvapiana;Blend Red;DOC Pomino Rosso;14.00;2018;Aged in wood;12.93
Poggio Bonelli Cretum 2017;Poggio Bonelli;Blend Red;IGT Toscano o Toscana;13.50;2017;Aged in wood;8.00
Sapaio Sapaio 2017;Podere Sapaio;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in barrique;58.56
Cerbaiona Brunello di Montalcino 2016;Cerbaiona;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;154.94
Salvioni La Cerbaiola Brunello di Montalcino 2015;Salvioni - La Cerbaiola;Sangiovese Grosso;DOCG Brunello di Montalcino;15.00;2015;Aged in big casks;146.40
Conti Costanti Rosso di Montalcino 2018;Conti Costanti;Sangiovese;DOC Rosso di Montalcino;13.50;2018;Aged in wood;25.00
Poggio Argentiera Capatosta 2017;Poggio Argentiera;Blend Red;IGT Toscano o Toscana;15.00;2017;Aged in barrique;17.90
Le Ripi Brunello di Montalcino Cielo d'Ulisse 2015;Podere Le Ripi;Sangiovese;DOCG Brunello di Montalcino;15.00;2015;Aged in wood;39.80
Capezzana Carmignano Trefiano Riserva 2016;Capezzana;Blend Red;DOCG Carmignano Riserva;14.50;2016;Aged in barrique;39.00
Barbicaia Nobile di Montepulciano Selezione La Ripa 2015;Barbicaia;Sangiovese;DOCG Vino Nobile di Montepulciano;14.50;2015;Aged in wood;29.28
San Giusto a Rentennano Percarlo Sangiovese 2017;Fattoria San Giusto a Rentennano;Sangiovese;IGT Toscano o Toscana;15.00;2017;Aged in wood;73.20
Banfi Governo all'Uso Toscano Stilnovo 2019;Banfi;Sangiovese;IGT Toscano o Toscana;13.50;2019;No oak/wood;8.91
Sassoregale Maremma Toscana Poderalta Rosso 2016;Sassoreale;Blend Red;DOC Maremma Toscana Rosso;14.50;2016;Aged in barrique;20.00
Triacca Nobile di Montepulciano Santavenere 2016;Triacca;Sangiovese;DOCG Vino Nobile di Montepulciano;13.50;2016;Aged in wood;15.96
Tenuta San Giorgio Brunello Montalcino Ugolforte 2016;Tenuta San Giorgio;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in barrique;34.16
Silvio Nardi Brunello di Montalcino Manachiara 2016;Tenute Silvio Nardi;Sangiovese;DOCG Brunello di Montalcino;15.00;2016;Aged in barrique;76.86
Guado al Tasso Matarocchio 2016;Tenuta Guado al Tasso (Antinori);Cabernet Franc;DOC Bolgheri Rosso Superiore;14.50;2016;No oak/wood;324.52
Poggio Landi Brunello di Montalcino 2016;Poggio Landi;Sangiovese;DOCG Brunello di Montalcino;14.00;2016;Aged in wood;36.91
San Filippo Brunello di Montalcino Le Lucere 2016;San Filippo;Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;82.92
Il Marroneto Rosso di Montalcino Ignaccio 2017;Il Marroneto;Sangiovese;DOC Rosso di Montalcino;13.50;2017;Aged in wood;36.60
Le Mortelle Poggio alle Nane 2018;Le Mortelle (Antinori);Blend Red;DOC Maremma Toscana Cabernet;14.50;2018;Aged in barrique;49.90
Stella di Campalto Rosso di Montalcino 2015;Stella di Campalto;Sangiovese;DOC Rosso di Montalcino;14.50;2015;Aged in wood;69.54
Tenuta Moraia Sangiovese Maremma Toscana Bio 2018;Tenuta Moraia (Tenute Piccini);Sangiovese;DOC Maremma Toscana Sangiovese;14.00;2018;Aged in barrique;14.49
Salcheto Rosso di Montepulciano 2019;Salcheto;Blend Red;DOC Rosso di Montalcino;13.50;2019;No oak/wood;9.30
Folonari Tenute Vigne a Porrona Montecucco 2015;Tenute Folonari;Blend Red;DOCG Montecucco Sangiovese;14.50;2015;Aged in big casks;11.11
Villa al Cortile Brunello di Montalcino Riserva 2012;Villa al Cortile (Tenute Piccini);Sangiovese Grosso;DOCG Brunello di Montalcino Riserva;14.50;2012;Aged in wood;55.00
Montevertine Le Pergole Torte 2018;Montevertine;Sangiovese;IGT Toscano o Toscana;14.00;2018;Aged in barrique;195.20
Tenuta di Biserno Biserno 2018;Biserno;Blend Red;IGT Toscano o Toscana;14.50;2018;Aged in barrique;115.90
